def,HasContext,legal,-0.011094775566045753,3,159,1
def,HasContext,slang,0.0,3,2,1
def,HasContext,aave,-0.011094775566045753,3,159,1
colleges,HasContext,colleges,0,0,0,0
idc,HasContext,internet slang,-1,-1,-1,-1
idc,HasContext,internet,0.0,3,2,1
idc,HasContext,text messaging,-1,-1,-1,-1
gon,HasContext,rail,-0.006970056373460306,160,2,1
gon,HasContext,trigonometry,-0.006970056373460306,160,2,1
lol,HasContext,internet slang,-1,-1,-1,-1
lol,HasContext,text messaging,-1,-1,-1,-1
wit,HasContext,wit,0,0,0,0
close,HasLastSubevent,close it,-1,-1,-1,-1
trust,HasPrerequisite,trust,0,0,0,0
understand,HasPrerequisite,think,-0.039925482875857767,160,159,1
tell,HasPrerequisite,tell them,-1,-1,-1,-1
smoke,HasPrerequisite,light the cigarette,-1,-1,-1,-1
smoke,HasPrerequisite,buy some cigarettes,-1,-1,-1,-1
smoke,HasPrerequisite,have a source of fire,-1,-1,-1,-1
smoke,HasPrerequisite,have a cigarette,-1,-1,-1,-1
talkin,HasPrerequisite,a mouth,-1,-1,-1,-1
talkin,HasPrerequisite,a voice,-1,-1,-1,-1
talkin,HasPrerequisite,language,8.455644222333873,3,2,104
kiss,HasPrerequisite,find someone to kiss,-1,-1,-1,-1
kiss,HasPrerequisite,brush your teeth,-1,-1,-1,-1
kiss,HasPrerequisite,kiss them,-1,-1,-1,-1
kiss,HasPrerequisite,pucker up,-1,-1,-1,-1
kiss,HasPrerequisite,greet,0.0,3,2,1
successful,HasPrerequisite,work hard,-1,-1,-1,-1
lookin,HasPrerequisite,looking,0.0,3,2,1
kill,HasPrerequisite,get a weapon,-1,-1,-1,-1
kill,HasPrerequisite,have a weapon,-1,-1,-1,-1
kill,HasPrerequisite,murder them,-1,-1,-1,-1
kill,HasPrerequisite,buy a gun,-1,-1,-1,-1
kill,HasPrerequisite,kill them,-1,-1,-1,-1
kill,HasPrerequisite,use a knife,-1,-1,-1,-1
remember,HasPrerequisite,memorize,-0.006970056373460306,160,2,1
remember,HasPrerequisite,write it down,-1,-1,-1,-1
remember,HasPrerequisite,not forget,-1,-1,-1,-1
remember,HasPrerequisite,repeat it,-1,-1,-1,-1
remember,HasPrerequisite,pay attention,-1,-1,-1,-1
learn,HasPrerequisite,study,-0.011094775566045753,3,159,1
difference,HasPrerequisite,difference,0,0,0,0
ignorant,HasProperty,ignorant,0,0,0,0
kind,HasProperty,kind,0,0,0,0
smoke,HasProperty,dangerous,-0.039925482875857767,160,159,1
god,HasProperty,glorified in christianity,-1,-1,-1,-1
colleges,HasProperty,specialized in a specific topic,-1,-1,-1,-1
mean,HasProperty,mean,0,0,0,0
innocent,HasProperty,innocent,0,0,0,0
death,HasProperty,inevitable,-0.011094775566045753,3,159,1
wrong,HasProperty,wrong,0,0,0,0
graduation,HasSubevent,graduation,0,0,0,0
understand,HasSubevent,understand,0,0,0,0
skipping,HasSubevent,skipping,0,0,0,0
talkin,HasSubevent,TALKING,0.0,3,2,1
talkin,HasSubevent,walking,0.0,3,2,1
talkin,HasSubevent,laughing,-0.011094775566045753,3,159,1
talkin,HasSubevent,you sneeze,-1,-1,-1,-1
talkin,HasSubevent,stutter,-0.011094775566045753,3,159,1
kiss,HasSubevent,you fall in love,-1,-1,-1,-1
kiss,HasSubevent,kiss them,-1,-1,-1,-1
kiss,HasSubevent,they kiss you back,-1,-1,-1,-1
kiss,HasSubevent,touch lips,-1,-1,-1,-1
kiss,HasSubevent,pucker up,-1,-1,-1,-1
love,HasSubevent,kiss them,-1,-1,-1,-1
swear,HasSubevent,swear,0,0,0,0
kill,HasSubevent,someone or something dies,-1,-1,-1,-1
kill,HasSubevent,you feel remorse,-1,-1,-1,-1
kill,HasSubevent,take a life,-1,-1,-1,-1
kill,HasSubevent,shoot,0.0,3,2,1
remember,HasSubevent,you remember,-1,-1,-1,-1
remember,HasSubevent,remember,0,0,0,0
remember,HasSubevent,correcting mistakes,-1,-1,-1,-1
disagree,HasSubevent,disagree,0,0,0,0
learn,HasSubevent,to learn,-1,-1,-1,-1
learn,HasSubevent,they learn,-1,-1,-1,-1
learn,HasSubevent,learn something,-1,-1,-1,-1
thing,IsA,entity,-0.006970056373460306,160,2,1
cap,IsA,protective covering,-1,-1,-1,-1
drag,IsA,clothing,0.0,3,2,1
start,IsA,turn,-0.039925482875857767,160,159,1
malone,IsA,village,0.0,3,2,1
name,IsA,name,0,0,0,0
rider,IsA,rider,0,0,0,0
rap,IsA,music,0.0,3,2,1
rap,IsA,bump,-0.011094775566045753,3,159,1
everybody,IsA,always younger than their father,-1,-1,-1,-1
art,IsA,an art,-1,-1,-1,-1
problems,IsA,unsolvable,0.0,3,2,1
cant,IsA,cant,0,0,0,0
cock,IsA,a male chicken,-1,-1,-1,-1
cock,IsA,chicken,0.0,3,2,1
cock,IsA,cock,0,0,0,0
cock,IsA,bird,0.0,3,2,1
story,IsA,a story,-1,-1,-1,-1
story,IsA,story,0,0,0,0
bart,IsA,an outlaw,-1,-1,-1,-1
kids,IsA,slang for children,-1,-1,-1,-1
drugs,IsA,substances,0.0,3,2,1
giant,IsA,animal,0.0,3,2,1
giant,IsA,enterprise,0.0,3,2,1
giant,IsA,large person,-1,-1,-1,-1
skipping,IsA,partially mental event,-1,-1,-1,-1
skipping,IsA,intelligent agent activity,-1,-1,-1,-1
day,IsA,24 hours long,-1,-1,-1,-1
man,IsA,man,0,0,0,0
lowkey,IsA,musical artist,-1,-1,-1,-1
mobile,IsA,sculpture,0.0,3,2,1
hours,IsA,work time,-1,-1,-1,-1
fufu,IsA,food,0.0,3,2,1
might,IsA,strength,-0.006970056373460306,160,2,1
pull,IsA,advantage,-0.011094775566045753,3,159,1
pull,IsA,pull,0,0,0,0
love,IsA,a feeling,-1,-1,-1,-1
lot,IsA,tract,-0.006970056373460306,160,2,1
credit,IsA,credit,0,0,0,0
commitment,IsA,commitment,0,0,0,0
god,IsA,a concept,-1,-1,-1,-1
god,IsA,Love,3.128670249682384,3,2,47
god,IsA,an abstract creation of humanity,-1,-1,-1,-1
god,IsA,an imaginary friend for grown ups,-1,-1,-1,-1
god,IsA,a fairy tale for adults,-1,-1,-1,-1
